period_start,regionid,fuel,perc
2026-07-17T01:00:00Z,8,other,0
2026-07-17T01:00:00Z,8,solar,0
2026-07-17T01:00:00Z,8,wind,13.7
2026-07-17T01:00:00Z,9,biomass,20.4
2026-07-17T01:00:00Z,9,coal,0
2026-07-17T01:00:00Z,9,gas,62.1
2026-07-17T01:00:00Z,9,hydro,0
2026-07-17T01:00:00Z,9,imports,5.4
2026-07-17T01:00:00Z,9,nuclear,3.9
2026-07-17T01:00:00Z,9,other,0
2026-07-17T01:00:00Z,9,solar,0
2026-07-17T01:00:00Z,9,wind,8.1
2026-07-17T01:00:00Z,10,biomass,13.1
2026-07-17T01:00:00Z,10,coal,0
2026-07-17T01:00:00Z,10,gas,63.5
2026-07-17T01:00:00Z,10,hydro,0
2026-07-17T01:00:00Z,10,imports,3.5
2026-07-17T01:00:00Z,10,nuclear,2.5
2026-07-17T01:00:00Z,10,other,0
2026-07-17T01:00:00Z,10,solar,0
2026-07-17T01:00:00Z,10,wind,17.4
2026-07-17T01:00:00Z,11,biomass,0
2026-07-17T01:00:00Z,11,coal,0
2026-07-17T01:00:00Z,11,gas,98.9
2026-07-17T01:00:00Z,11,hydro,0
2026-07-17T01:00:00Z,11,imports,0
2026-07-17T01:00:00Z,11,nuclear,0
2026-07-17T01:00:00Z,11,other,0
2026-07-17T01:00:00Z,11,solar,0
2026-07-17T01:00:00Z,11,wind,1.1
2026-07-17T01:00:00Z,12,biomass,9.2
2026-07-17T01:00:00Z,12,coal,0
2026-07-17T01:00:00Z,12,gas,67.1
2026-07-17T01:00:00Z,12,hydro,0
2026-07-17T01:00:00Z,12,imports,4.6
2026-07-17T01:00:00Z,12,nuclear,10.8
2026-07-17T01:00:00Z,12,other,0
2026-07-17T01:00:00Z,12,solar,0
2026-07-17T01:00:00Z,12,wind,8.3
2026-07-17T01:00:00Z,13,biomass,7.1
2026-07-17T01:00:00Z,13,coal,0
2026-07-17T01:00:00Z,13,gas,70.3
2026-07-17T01:00:00Z,13,hydro,0.2
2026-07-17T01:00:00Z,13,imports,9.4
2026-07-17T01:00:00Z,13,nuclear,3.1
2026-07-17T01:00:00Z,13,other,0
2026-07-17T01:00:00Z,13,solar,0
2026-07-17T01:00:00Z,13,wind,10
2026-07-17T01:00:00Z,14,biomass,1.1
2026-07-17T01:00:00Z,14,coal,0
2026-07-17T01:00:00Z,14,gas,77.3
2026-07-17T01:00:00Z,14,hydro,0.4
2026-07-17T01:00:00Z,14,imports,16.6
2026-07-17T01:00:00Z,14,nuclear,0.2
2026-07-17T01:00:00Z,14,other,0
2026-07-17T01:00:00Z,14,solar,0
2026-07-17T01:00:00Z,14,wind,4.4
2026-07-17T01:00:00Z,15,biomass,11.1
2026-07-17T01:00:00Z,15,coal,0
2026-07-17T01:00:00Z,15,gas,55.6
2026-07-17T01:00:00Z,15,hydro,0
2026-07-17T01:00:00Z,15,imports,7.9
2026-07-17T01:00:00Z,15,nuclear,13.4
2026-07-17T01:00:00Z,15,other,0
2026-07-17T01:00:00Z,15,solar,0
2026-07-17T01:00:00Z,15,wind,12
2026-07-17T01:00:00Z,16,biomass,2.7
2026-07-17T01:00:00Z,16,coal,0
2026-07-17T01:00:00Z,16,gas,0
2026-07-17T01:00:00Z,16,hydro,0
2026-07-17T01:00:00Z,16,imports,0
2026-07-17T01:00:00Z,16,nuclear,48.6
2026-07-17T01:00:00Z,16,other,0
2026-07-17T01:00:00Z,16,solar,0
2026-07-17T01:00:00Z,16,wind,48.7
2026-07-17T01:00:00Z,17,biomass,0
2026-07-17T01:00:00Z,17,coal,0
